               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078981,              0.0326,            0.026293,             0.34951,             0.57758,             0.39793,             0.19149,            0.044011,            0.012951,            0.014941,            0.070234,           0.0033073,           0.0033073
                   1,            0.050419,            0.025633,            0.022468,             0.32732,             0.70847,              0.4507,             0.22491,            0.039309,            0.009012,            0.015911,            0.038043,           0.0044492,           0.0044492
                   2,            0.042151,            0.023842,            0.021428,             0.44431,             0.81377,              0.5714,             0.32018,            0.032835,           0.0080716,            0.014514,           0.0036516,           0.0033911,           0.0033911
